beta,epoch,recon,kl
1,1,1370.6759765625,14.442953109741211
1,2,1288.3997314453125,15.482962036132813
1,3,1158.2671875,29.37052230834961
1,4,1021.8675048828125,55.39694519042969
1,5,849.1252197265625,100.77716674804688
1,6,616.5376098632812,151.18326110839843
1,7,421.2450317382812,206.42880249023438
1,8,290.84193725585936,254.78197021484374
1,9,223.3114227294922,276.3795227050781
1,10,167.7031280517578,261.8516479492188
1,11,135.91099853515624,220.75623779296876
1,12,128.3229553222656,176.04210815429687
1,13,133.91712799072266,144.77406616210936
1,14,108.78356628417968,131.65957641601562
1,15,90.86664733886718,128.7704116821289
1,16,70.20735626220703,130.44193420410156
1,17,55.640618896484376,130.25225830078125
1,18,49.791326904296874,122.62045440673828
1,19,52.33576965332031,109.43892059326171
1,20,48.374822998046874,99.27583312988281
1,21,50.73199615478516,92.93657073974609
1,22,43.520851135253906,90.18535766601562
1,23,44.089012908935544,87.11531982421874
1,24,39.386312103271486,84.80525665283203
1,25,38.14874038696289,79.32851181030273
1,26,37.892068481445314,73.78889465332031
1,27,37.5282039642334,67.84514465332032
1,28,37.98681297302246,65.58936462402343
1,29,42.62905044555664,65.91259460449218
1,30,35.485388946533206,67.03454895019532
1,31,34.755288696289064,60.209014892578125
1,32,45.953834533691406,55.40731201171875
1,33,33.58572235107422,57.94395751953125
1,34,36.21000518798828,57.12429504394531
1,35,36.33491516113281,54.89680633544922
1,36,34.0522705078125,53.54783630371094
1,37,30.023122787475586,52.1825927734375
1,38,35.939720916748044,46.899732971191405
1,39,35.87365646362305,46.943268585205075
1,40,33.401546478271484,49.47823486328125
1,41,27.96496639251709,47.36211395263672
1,42,36.941497802734375,43.45559844970703
1,43,28.22632255554199,45.58501281738281
1,44,28.09541244506836,46.53595733642578
1,45,27.738340377807617,43.05878677368164
1,46,30.554965591430665,41.13643798828125
1,47,24.537023544311523,42.972509765625
1,48,29.429224014282227,44.596797180175784
1,49,29.506622314453125,41.40202178955078
1,50,22.859432220458984,40.70742950439453
1,51,24.089320373535156,40.81827087402344
1,52,21.081440353393553,39.00070724487305
1,53,24.70448570251465,38.67361602783203
1,54,21.495838928222657,39.84182891845703
1,55,23.558233642578124,39.62182388305664
1,56,19.506363296508788,38.1744270324707
1,57,24.811437034606932,37.30258331298828
1,58,24.70944480895996,35.9933349609375
1,59,15.76350212097168,38.212683868408206
1,60,14.306124114990235,39.79074935913086
1,61,14.693865776062012,39.44480819702149
1,62,15.930890846252442,37.07492370605469
1,63,16.139675521850585,35.14863967895508
1,64,12.957315063476562,36.37649230957031
1,65,13.540330123901366,36.55439758300781
1,66,16.514266967773438,35.15995292663574
1,67,14.90141487121582,37.44598388671875
1,68,12.163291740417481,35.910851287841794
1,69,22.503590393066407,30.747632598876955
1,70,15.852706909179688,34.737158203125
1,71,15.297483825683594,36.66346130371094
1,72,20.902235794067384,31.08817138671875
1,73,17.284095191955565,32.40837173461914
1,74,13.209751510620118,35.824893188476565
1,75,14.146302032470704,31.568570709228517
1,76,25.898888778686523,29.513578033447267
1,77,13.970609283447265,34.09047317504883
1,78,12.916133880615234,32.36041107177734
1,79,27.47711524963379,29.92828369140625
1,80,16.60841064453125,32.70872573852539
1,81,12.766169929504395,31.235180282592772
1,82,11.121256828308105,31.000102996826172
1,83,14.341647720336914,32.08544235229492
1,84,10.705829238891601,32.79654121398926
1,85,13.09619598388672,30.969818115234375
1,86,10.74817123413086,31.012728118896483
1,87,12.895719528198242,30.06626205444336
1,88,11.870750236511231,30.71255111694336
1,89,15.513812828063966,29.552218627929687
1,90,12.830129432678223,31.1795295715332
1,91,12.07446231842041,29.382373046875
1,92,16.956529998779295,26.930095291137697
1,93,13.940472030639649,29.294210815429686
1,94,9.331698036193847,27.868724822998047
1,95,13.565540504455566,26.943941116333008
1,96,10.06652374267578,28.359110260009764
1,97,10.889801406860352,28.786416625976564
1,98,12.699746322631835,27.77980842590332
1,99,13.338314247131347,26.072014617919923
1,100,16.0368221282959,25.92607727050781
2,1,1393.8591796875,30.81252250671387
2,2,1309.042236328125,21.24655418395996
2,3,1218.7965576171875,27.9800048828125
2,4,1064.0302001953125,44.12891845703125
2,5,900.9820556640625,68.437841796875
2,6,713.4446472167969,99.96491394042968
2,7,516.2623291015625,137.28133544921874
2,8,383.5670959472656,160.44212036132814
2,9,319.3005859375,158.00946655273438
2,10,281.7060302734375,138.55711669921874
2,11,267.05443420410154,117.03518829345703
2,12,240.38609313964844,101.91067047119141
2,13,217.04003295898437,94.94406280517578
2,14,183.35032348632814,94.099267578125
2,15,153.85289611816407,92.36824798583984
2,16,148.4966567993164,83.97479705810547
2,17,145.31117248535156,75.33004150390624
2,18,124.23638153076172,70.94629211425782
2,19,124.34952392578126,67.56087341308594
2,20,102.35428466796876,69.5753677368164
2,21,87.08101654052734,67.56517944335937
2,22,95.34713973999024,61.02940063476562
2,23,82.74814910888672,60.04954147338867
2,24,68.00386352539063,61.311946105957034
2,25,62.22392883300781,59.109413146972656
2,26,60.161746978759766,53.96078643798828
2,27,61.68832092285156,52.247945404052736
2,28,49.197323608398435,54.92467422485352
2,29,54.992881774902344,51.13921432495117
2,30,52.37741241455078,48.40452423095703
2,31,42.73843002319336,50.717994689941406
2,32,39.45173988342285,48.37784194946289
2,33,57.00596923828125,42.11947174072266
2,34,36.907447052001956,45.22201080322266
2,35,33.060994720458986,45.21345520019531
2,36,50.43812561035156,37.783163452148436
2,37,47.61045532226562,37.77375869750976
2,38,38.266675567626955,44.61877365112305
2,39,33.51601219177246,39.54903564453125
2,40,44.48525466918945,31.350875091552734
2,41,46.802521514892575,33.662723541259766
2,42,34.94581604003906,38.43436889648437
2,43,27.95336570739746,33.157688522338866
2,44,47.68412704467774,28.227395248413085
2,45,38.39151725769043,29.982526779174805
2,46,26.968672943115234,32.80835876464844
2,47,40.76309432983398,31.429096984863282
2,48,28.34478187561035,31.115953063964845
2,49,36.66666831970215,28.0090576171875
2,50,34.5729061126709,29.997909545898438
2,51,24.63448715209961,31.65218276977539
2,52,26.051453018188475,29.387885284423827
2,53,31.001313781738283,26.54211540222168
2,54,31.92289581298828,26.273378753662108
2,55,35.26171112060547,27.466494750976562
2,56,29.060548400878908,28.88257751464844
2,57,24.56916160583496,28.095297622680665
2,58,20.336348724365234,27.11130561828613
2,59,26.14450149536133,26.276265335083007
2,60,24.396421813964842,25.96289405822754
2,61,30.21998176574707,25.440646362304687
2,62,15.922803497314453,27.196772003173827
2,63,25.035018920898438,23.950921249389648
2,64,31.228979873657227,24.738379669189452
2,65,29.026018142700195,27.959666442871093
2,66,37.033010482788086,23.060989379882812
2,67,21.447794342041014,24.532312393188477
2,68,18.817047309875488,27.49877166748047
2,69,25.82287254333496,24.153657531738283
2,70,26.918074798583984,23.366154861450195
2,71,25.11431312561035,26.737925720214843
2,72,14.142609596252441,24.152704620361327
2,73,26.564178466796875,22.275143814086913
2,74,23.513968658447265,23.94668502807617
2,75,17.606654357910156,25.924899673461915
2,76,16.814427185058594,24.056863021850585
2,77,15.121492767333985,22.178633880615234
2,78,27.478121948242187,19.968961715698242
2,79,21.30393829345703,22.61652603149414
2,80,16.860265731811523,23.899773025512694
2,81,21.53263702392578,21.753741836547853
2,82,18.906890869140625,20.56066551208496
2,83,20.771196365356445,20.42857246398926
2,84,16.412992095947267,22.023509979248047
2,85,21.785076522827147,21.54272918701172
2,86,18.559611320495605,20.650594329833986
2,87,13.60716438293457,19.510615158081055
2,88,22.8636962890625,18.976970672607422
2,89,19.19134635925293,20.67123908996582
2,90,23.439159393310547,21.071871948242187
2,91,17.19600658416748,18.80704517364502
2,92,24.779433059692384,18.934981536865234
2,93,16.50175323486328,20.462651824951173
