service,users_existing,users_nonuser,users_residual,total_users,blue_score,novelty,sales_JPY,nonuser_ratio,residual_ratio
new0,5674874,821582,99249,6595714,0.0025443747169711537,0.332358181476593,6595714393,0.12456301167697689,0.015047499027398702
new1,5181438,426466,46568,5654482,0.000871081564789258,0.21920514106750488,5654482872,0.0754208785172541,0.008235590810970837
new2,4641824,335372,35183,5012388,0.0005683412254190489,0.1818687915802002,5012388875,0.06690862718528573,0.007019209207268073
new3,4861323,336779,35424,5233535,0.00040817436164201915,0.13006973266601562,5233535321,0.06435019542240569,0.006768656367063562
new4,5043709,484754,53878,5582352,0.0015316506897418412,0.3390895128250122,5582352010,0.08683687449304522,0.00965148740172601
new5,5146903,441530,48446,5636891,0.0010616088533278866,0.2580360770225525,5636891386,0.07832863896073208,0.008594453928592908
new6,5075095,639895,74127,5789128,0.002061131676504976,0.3456791043281555,5789128174,0.11053391806158026,0.012804519091649036
new7,5559775,1002709,124708,6687203,0.0037027801760414806,0.3963049054145813,6687203832,0.14994445360788358,0.018648753447442826
new8,5264980,506539,56770,5828300,0.0014365038166624857,0.3043479323387146,5828300144,0.08691024827136558,0.009740404577664155
new9,5103664,718553,84711,5906939,0.002442907237313792,0.36485862731933594,5906939830,0.12164557649909707,0.014340930217833637
new10,4619167,327340,34211,4980730,0.0004497298636805248,0.14744460582733154,4980730585,0.06572128985108609,0.006868671861353657
new11,4753375,339287,35691,5128364,0.00047858137248605687,0.15137869119644165,5128364536,0.06615891539680101,0.0069595293937793805
new12,4760176,319521,33320,5113028,0.000536413505116931,0.18016749620437622,5113028812,0.062491541215890074,0.006516686394050649
new13,4954456,369499,39430,5363396,0.0006062277079664897,0.176075279712677,5363396984,0.06889273139630189,0.007351685387392615
new14,5223225,731687,86575,6041498,0.0025932007850145403,0.3803534507751465,6041498566,0.12111019485564672,0.014330055228024573
new15,5031587,491808,54773,5578178,0.0014432041854658257,0.3149261474609375,5578178592,0.0881664227997027,0.009819156003985531
new16,4676142,316380,32919,5025453,0.0006267640235503237,0.2126036286354065,5025453176,0.06295551863682737,0.006550454257556483
new17,4804676,371187,39584,5215460,0.0005289673541105495,0.15293681621551514,5215460546,0.07117051995413635,0.007589742803127624
new18,4881290,343863,36286,5261452,0.00045363712191256095,0.14157909154891968,5261452444,0.06535515291216189,0.006896575317992068
new19,5055905,362703,38634,5457254,0.0005044990338113,0.14927446842193604,5457254194,0.06646254691462043,0.007079384613580383
