,UX_mean,UI_design,Player_usability,Catalogue_volume,Genre_coverage_within_category,New_release_speed,Genre_coverage_among_category,Cost_perf,Overall_satisfaction,NPS_intention,Continue_intention,Genre_1_top_share,Genre_2_top_share,Genre_3_top_share,Genre_4_top_share,Genre_5_top_share,Genre_6_top_share,Genre_7_top_share,Genre_8_top_share,Genre_9_top_share,Genre_10_top_share,Genre_11_top_share,Genre_12_top_share,Genre_13_top_share,Genre_14_top_share,Genre_15_top_share,Original_viewer_share,Original_quality,Usage_tenure_months,Personal_pay_ratio,Extra_service_use,Corporate_trust,SDGs_influence
z0,0.10175181545390628,-0.08271386233614142,0.26204520455426866,0.1252399163136681,0.21982548230745755,0.18632685962458037,-0.20390852628605552,0.2137538511458266,0.16410793305885246,0.18021211678332433,-0.10234442931946144,0.024718567568722864,-0.13367884399436364,-0.07570880666814887,-0.2759057805734734,0.19712625288778834,-0.05536354061534712,-0.19107134498194028,0.2662755161466636,0.0237082081610485,-0.3989402315953269,-0.03742899483738431,,,0.46943679472217037,,,0.2401826229039625,-0.9411765575164414,,0.19293111300050297,0.1085414061633151,0.42795554359745264
z1,-0.11862515590016541,0.04927635503497483,-0.2773717866779958,-0.12254972296664406,-0.2746178599914862,-0.18190487973922756,0.07523879592362051,-0.17082095315675427,-0.15972808248470416,-0.21580984578324047,0.10737321344544727,-0.07670594168490111,0.04990519156742826,0.01673179110137982,0.20340381905336696,-0.2479852305156355,0.1548886599423115,0.12926809750155477,-0.27232506968465403,-0.060035122520799546,0.35664021473001484,0.06027316899141634,,,-0.45283480343354143,,,-0.280121587294563,0.947439559065419,,-0.2503893705817271,-0.09569412971534932,-0.5165609711298782
z2,0.13383672849956046,-0.042430886151021474,0.2908551643821016,0.13737927699881636,0.281706341459457,0.20425911539804217,-0.0979612616704377,0.19259762514023315,0.1786409917015048,0.2308741859638726,-0.0922955395872447,0.08255724569312049,-0.05194802956989499,-0.03551499918984358,-0.2202108298859148,0.24515423175506673,-0.14071941255410217,-0.14744568269190483,0.27917113717341774,0.04093486837769134,-0.3737726951567964,-0.06044656750750275,,,0.43425104466297626,,,0.2856907998634995,-0.9409473656763558,,0.2571980603105017,0.11701708413684075,0.5218446477331279
z3,0.06024207151017537,-0.09367725564007241,0.2057628580679985,0.04417042754862796,0.23390828004056488,0.09128245812734191,0.0766096409102301,0.09225047285315889,0.08937655874145724,0.1735482828535112,-0.18177055651886181,0.12089476529608856,0.05834784408355282,0.06304203234441944,-0.0812399161523154,0.2883588025438985,-0.21415451631773982,-0.023538624718761135,0.2505892599410254,0.10590496540763705,-0.2901409799035094,-0.13635050953518293,,,0.4343089919812756,,,0.2648616699841864,-0.958591222296435,,0.28331816852404046,0.060214988879082255,0.5329599650710743
z4,-0.03315952439267109,0.12539956840943065,-0.1955205713964493,-0.038583356452028005,-0.1980079831425923,-0.0681389203968429,0.0026965089379931326,-0.12157582312705602,-0.08262863689412937,-0.1311036588986388,0.19748293448713292,-0.06593708308183922,0.00869637297292032,-0.02104138759376018,0.13112467181522441,-0.2781303604904328,0.13012798306852763,0.05317638561754898,-0.2565220681718464,-0.08752611225095379,0.31466356576682275,0.1438286949311648,,,-0.4854201775892664,,,-0.22228344019035925,0.976358420414946,,-0.24984270750897053,-0.0586115699054052,-0.46884107865290364
z5,0.6902217595143328,0.7420972128016747,0.6282479302779105,0.7036941828978663,0.6065460960379784,0.6139998470773048,-0.311310240605206,0.6191310282645083,0.6725964514500111,0.5852419174542208,0.7709558515226578,0.054481223545323566,-0.12731377429703036,-0.41792996404281285,-0.19596319895088746,-0.3438015245319222,0.34552166784963706,-0.2743637763986097,-0.0121676517645301,-0.1515737824424273,-0.01618917570931503,0.05628091943746388,,,-0.1165973550189335,,,-0.1149455943970539,0.6607018719187159,,0.04950690598124795,0.6021393518854209,-0.00904172782083037
z6,-0.5319721716525359,-0.6132354841730573,-0.33453399246169985,-0.42966394320916956,-0.26205615918666153,-0.37588012101735346,0.044457044071980124,-0.36302842634396076,-0.4050617357018791,-0.4305872693082676,-0.6035379863267747,-0.13449157716647586,-0.10146759027942961,0.19209422603348889,-0.07307273934439944,0.3501711905019905,-0.17818771211598863,0.015618813301090644,0.034039531903185344,0.1820868634881674,-0.22927679163758732,0.02559362569090502,,,0.5625077038867515,,,0.11059914706051163,-0.8727669707994173,,-0.01951106000690411,-0.45396794379236677,0.08862185942795703
z7,0.16415858610012926,0.2916962116597697,-0.017337806638747563,0.13538138791137352,-0.046878296227455186,0.11036792613428936,-0.04425288686129069,0.05076444781976502,0.09990562749415952,0.06364247238068042,0.37946167980848494,-0.013682570405846809,-0.0006542917142189347,-0.07716675113680294,0.07523739136426733,-0.335434131164605,0.1732651239676396,-0.018464559954164513,-0.23226853893984714,-0.10517882077823335,0.2796938577284636,0.1375943521444521,,,-0.5176106963390005,,,-0.1375891805145367,0.9917727555888131,,-0.21519993055956352,0.11353688950586557,-0.39951072371184543
z8,0.10765436181140685,0.2646757152835478,-0.058329358173171565,0.10684347486144513,-0.05369309874213646,0.0830794899523158,-0.0641501154584677,-0.004319418874073088,0.05327301922842804,0.010527500717414916,0.3356540459859051,-0.055455483165600804,-0.010587881263607792,-0.09716249354813786,0.08125987803926746,-0.3158113611449674,0.15510831529941035,-0.019715410226536643,-0.22935617928338262,-0.11204892039084419,0.2535947688899523,0.16989381110787657,,,-0.4767396795373788,,,-0.17560823696910255,0.9934902021844281,,-0.23023930475749985,0.05485166050558366,-0.4114192726571963
z9,-0.09482135573144168,-0.24579728190410793,0.08647955472517038,-0.058381129473205125,0.08279530626351722,-0.011173772561163193,-0.08830153092851155,0.02942229224700998,-0.020081437395606735,-0.005328123109611799,-0.289915481622055,-0.0027310586827658666,-0.09444372164006318,0.020584002493719642,-0.19033731427680484,0.2678777437677041,-0.12750522459417873,-0.08580125058578854,0.22364197916235323,0.09029877657372277,-0.31647019022671263,-0.0510583360271126,,,0.5282971753949971,,,0.16959337298525176,-0.9859921114233081,,0.1721703917992111,-0.07092038055542985,0.378679866145849
z10,-0.24283896234710403,-0.398939517267278,-0.06355660020455026,-0.21018079064621964,-0.07022451037651191,-0.1494109752488694,0.005465096743205795,-0.08419962548844817,-0.14106659720935613,-0.13838138742163883,-0.3991917529431502,-0.016369671126893977,-0.05591759195368522,0.11687806025689401,-0.14422882059945338,0.33168343574348413,-0.12148396804581647,-0.045230824630852956,0.14033040570422886,0.12598157116422082,-0.2597691205103801,-0.07956312328286153,,,0.4822340483212911,,,0.2362431548183714,-0.9855966481595541,,0.10266220036143436,-0.1786764466568899,0.27765027974909734
z11,-0.11201801287547813,0.05457900859775513,-0.2805779020516875,-0.12645934093569455,-0.2749281856736529,-0.17348801264515604,0.09881052787331786,-0.19805135392276704,-0.17331211143596664,-0.20697676934319156,0.10361997617970546,-0.0612031368307317,0.06448832464784644,0.045244902596645625,0.21602284778090672,-0.2391133838214676,0.09843261831791733,0.14126247874152914,-0.2553185823595988,-0.06186898145865443,0.36535412720299676,0.07957684924508579,,,-0.495529981831413,,,-0.2524401100793707,0.9501622053102874,,-0.2379009973893671,-0.11249460701502349,-0.48303928874254304
z12,0.7483161083206994,0.5790312380224315,0.8159349781531403,0.7100533387786799,0.7974656384667469,0.7347283145035894,-0.20129075978286382,0.7072405850326159,0.7566389064586541,0.7831448113479256,0.5686161700125077,0.1823707163136651,-0.062053267696613346,-0.2235693614788519,-0.3115523983262674,0.018484854366691495,0.06756081684182799,-0.30448141350083724,0.2687320114625253,-0.016133931399701654,-0.3244654925998361,-0.08185856163059987,,,0.18805271595081796,,,0.40078215259376043,-0.4767389947480316,,0.312684228410752,0.6624655393803632,0.5909797479656895
z13,0.5779299386913463,0.374707659956889,0.6728549163257799,0.5631362927628675,0.578256416874037,0.5996677070757999,-0.36739638073277675,0.7016447452040998,0.6437200771595312,0.5926697860172353,0.4261867285727244,0.020014281767986475,-0.19971383434957976,-0.24695930514316633,-0.37292985925218614,0.02701887129899659,0.24350219184555086,-0.3516652162964046,0.2187645915153077,-0.05760104943793144,-0.4200859348852721,-0.08264664569324236,,,0.27713587339965423,,,0.3502329474765872,-0.6197459981146394,,0.13831377396076944,0.5968692576662262,0.37725133120249793
z14,-0.8979542247005763,-0.8706330657663328,-0.7919075509049022,-0.8478414527247683,-0.7635918425562541,-0.7889584681148177,0.15669640182287614,-0.7263237474196625,-0.8252844763465116,-0.8254912941252145,-0.9014196438894269,-0.20728270575763486,-0.028156891183049673,0.29946322727645247,0.1461506489341978,0.2701740200949856,-0.23230797067239514,0.3055315611566856,-0.08418929893619256,0.13148280349940894,0.027844444740280045,0.056769643217967174,,,0.28310523529906795,,,-0.23069425287101183,-0.5220023850784934,,-0.16358925063106217,-0.7747312147506812,-0.22166098042236096
z15,0.05385389162978137,-0.11629305995678536,0.21837272415359893,0.05911246944952274,0.214891298799548,0.11462213553556039,-0.04742235998872529,0.12831303171915953,0.10630993790471777,0.15862467510336062,-0.17348648295678032,0.08548025915638052,-0.02938375954804802,-0.004729804015845038,-0.18486057599154038,0.2666331615015546,-0.15213301819913874,-0.09974835829946868,0.2632554744504939,0.06819445980458008,-0.3479625266682298,-0.08882682779195675,,,0.4672760554477212,,,0.2502474440033048,-0.9676667525519951,,0.2620947141149599,0.05667576170100197,0.5001378089701825
