service,from_existing,from_nonuser,from_residual,residual_ratio,total_inflow,nonuser_ratio,novelty,BlueOceanScore,estimated_sales,arpu,eps,tau,nonuser_mass,residual_mass,segment_id,segment_size,segment_ratio,avg_satisfaction,service_id
new0,84225.70003198716,13740.958154434878,418.3839295167819,0.00425251563163179,98385.04211593882,0.1396651143193319,0.19426678281577703,0.002669411733468281,118062050.53912659,1200,0.2,0.1,0.1,0.05,1,696,0.2075134168157424,5.0,segment_1_service_0
new1,84023.33073227455,15127.556570968813,496.07856582035913,0.004978360971594531,99646.96586906373,0.15181151216231156,0.14551684470844606,0.0022013143003559014,149470448.8035956,1500,0.2,0.1,0.1,0.05,1,696,0.2075134168157424,5.0,segment_1_service_1
new2,104282.32641361695,13966.574355515544,450.7756096350286,0.00379761447871699,118699.6763787675,0.11766312075652656,0.16120881674008003,0.0022515349257650067,118699676.3787675,1000,0.2,0.1,0.1,0.05,1,696,0.2075134168157424,5.0,segment_1_service_2
new3,88262.2660628666,13883.552661627398,430.36433455616,0.004195558088844187,102576.18305905016,0.1353486964282443,0.1345416814605278,0.0018679165197411363,133349037.97676522,1300,0.2,0.1,0.1,0.05,1,696,0.2075134168157424,5.0,segment_1_service_3
new4,82767.1059852719,13173.842658068743,386.7940926065371,0.004015396620128574,96327.74273594718,0.13676062870258232,0.119887400233045,0.0015793777473550488,154124388.3775155,1600,0.2,0.1,0.1,0.05,1,696,0.2075134168157424,5.0,segment_1_service_4
new5,86304.08747824068,12305.35406598766,345.8192586127457,0.0034947031194405894,98955.26080284106,0.12435270208124564,0.13148634525519665,0.0016179860332078912,118746312.96340927,1200,0.2,0.1,0.1,0.05,1,696,0.2075134168157424,5.0,segment_1_service_5
new6,97857.50394537151,13888.858667680734,440.25833591021075,0.003924339036029077,112186.62094896245,0.12380138157471783,0.10771835708509947,0.001496085037469712,134623945.13875493,1200,0.2,0.1,0.1,0.05,1,696,0.2075134168157424,5.0,segment_1_service_6
new7,80978.58825103652,11218.562159365993,289.58600989423195,0.0031311085362363453,92486.73642029673,0.12129914616496314,0.22756452383742043,0.0025529467559366253,110984083.70435607,1200,0.2,0.1,0.1,0.05,1,696,0.2075134168157424,5.0,segment_1_service_7
new8,81474.20179628802,11150.577862856124,286.8646533607852,0.0030874994784929905,92911.64431250493,0.12001270610766032,0.19847212188833474,0.0022130788487221475,111493973.17500591,1200,0.2,0.1,0.1,0.05,1,696,0.2075134168157424,5.0,segment_1_service_8
new9,103478.08746277321,12862.422405759991,389.0145422298776,0.0033326148135493336,116729.52441076307,0.11018996668313341,0.19231318018425925,0.0024736133577249746,140075429.29291567,1200,0.2,0.1,0.1,0.05,1,696,0.2075134168157424,5.0,segment_1_service_9
new0,101483.37993643788,14054.555815236474,426.29783488001056,0.003676114795876496,115964.23358655436,0.12119733283751076,0.07926035795293762,0.001113969124785184,139157080.30386522,1200,0.2,0.1,0.1,0.05,2,601,0.17918902802623732,5.0,segment_2_service_0
new1,117088.9281981555,13746.681510687544,422.9021614872381,0.0032219027586189715,131258.5118703303,0.10472982905876484,0.051804870929171964,0.0007121450613656029,196887767.80549544,1500,0.2,0.1,0.1,0.05,2,601,0.17918902802623732,5.0,segment_2_service_1
new2,89896.22027270358,11722.188523870394,301.1906941862191,0.0029551793344078474,101919.5994907602,0.11501407562863414,0.1741468630353089,0.0020413823593405274,101919599.4907602,1000,0.2,0.1,0.1,0.05,2,601,0.17918902802623732,5.0,segment_2_service_2
