,UX_mean,UI_design,Player_usability,Catalogue_volume,Genre_coverage_within_category,New_release_speed,Genre_coverage_among_category,Cost_perf,Overall_satisfaction,NPS_intention,Continue_intention,Genre_1_top_share,Genre_2_top_share,Genre_3_top_share,Genre_4_top_share,Genre_5_top_share,Genre_6_top_share,Genre_7_top_share,Genre_8_top_share,Genre_9_top_share,Genre_10_top_share,Genre_11_top_share,Genre_12_top_share,Genre_13_top_share,Genre_14_top_share,Genre_15_top_share,Original_viewer_share,Original_quality,Usage_tenure_months,Personal_pay_ratio,Extra_service_use,Corporate_trust,SDGs_influence
PC1,0.29476702,0.2573762,0.2850767,0.29222935,0.26322734,0.28551582,-0.12399219,0.27941883,0.2934419,0.2844346,0.28000745,0.06080253,-0.03183303,-0.14147371,-0.11557392,-0.08754797,0.107719384,-0.14652641,0.054162778,-0.0537349,-0.09127049,-0.014924968,-0.0,-0.0,-0.0015991828,-0.0,-0.0,0.08064476,0.041480273,-0.0,0.07148859,0.2715975,0.10116271
PC2,0.047376204,0.029356513,0.056646634,-0.017888784,0.13492137,-0.01220018,0.36225832,-0.07929623,0.0027692607,0.12704574,-0.100459,0.32955027,0.3780456,0.11923418,0.17297143,0.19440405,-0.2510433,0.13711998,0.11592209,-0.016126368,0.034445204,-0.2385928,-0.0,-0.0,-0.08068315,-0.0,-0.0,0.072228044,-0.1273205,-0.0,0.3753076,0.04457388,0.39164567
PC3,0.05239766,0.14637807,0.0053601074,0.023360293,0.084482424,-0.101625346,0.29193857,0.123825066,0.09101454,-0.018668346,0.13660564,-0.10866803,0.14333418,0.1360707,0.33542272,0.02464132,0.26166373,0.26456866,-0.2529026,0.15643488,0.31054422,-0.2984957,-0.0,-0.0,-0.06864822,-0.0,-0.0,-0.09262282,0.26989245,-0.0,-0.21196775,0.20354952,-0.28464016
PC4,-0.11932274,-0.24107397,0.05803435,-0.007924068,0.10950389,-0.055288326,0.12449167,0.113475695,0.11697653,-0.06271995,-0.032137956,0.042870477,-0.06412224,0.19458789,-0.2425867,0.2674261,0.2859326,-0.21027899,-0.2092818,0.212151,-0.04296127,-0.22281066,0.0,0.0,0.3641169,0.0,0.0,0.40641567,-0.34206516,0.0,0.003512085,0.029257871,-0.077835724
PC5,-0.012409922,-0.03181089,-0.03029754,-0.061940648,0.06346885,0.14440668,0.089980535,-0.107333414,0.08751409,0.060954504,0.17627278,0.14784531,-0.016184254,0.23992777,-0.2135748,-0.013095259,-0.2550597,-0.12549655,-0.2931093,0.24917807,0.3203592,0.38443446,-0.0,-0.0,-0.30164993,-0.0,-0.0,0.33008447,0.26908538,-0.0,-0.078534506,-0.13982236,0.06605065
PC6,0.037696633,0.046745736,0.021522926,0.1375115,0.11461102,-0.047238942,-0.0146744,0.036317904,-0.023060221,-0.010728326,0.03519129,-0.2122419,-0.3189174,0.1304403,-0.045566276,-0.18351622,-0.15257183,0.24355419,0.3599016,0.52168953,0.36274198,0.011080727,-0.0,-0.0,0.22326314,-0.0,-0.0,-0.13437587,-0.19217613,-0.0,0.11855244,-0.032802492,0.15084653
