Service,UX_mean,UI_design,Player_usability,Catalogue_volume,Genre_coverage_within_category,New_release_speed,Genre_coverage_among_category,Cost_perf,Overall_satisfaction,NPS_intention,Continue_intention,Genre_1_top_share,Genre_2_top_share,Genre_3_top_share,Genre_4_top_share,Genre_5_top_share,Genre_6_top_share,Genre_7_top_share,Genre_8_top_share,Genre_9_top_share,Genre_10_top_share,Genre_11_top_share,Genre_12_top_share,Genre_13_top_share,Genre_14_top_share,Genre_15_top_share,Original_viewer_share,Original_quality,Usage_tenure_months,Personal_pay_ratio,Extra_service_use,Corporate_trust,SDGs_influence
TELASA（テラサ）,6.9476744186046515,7.0,6.813953488372093,6.767441860465116,6.511627906976744,6.627906976744186,3.3488372093023258,6.790697674418604,7.232558139534884,6.186046511627907,7.1395348837209305,0.023255813953488372,0.13953488372093023,0.3023255813953488,0.11627906976744186,0.023255813953488372,0.3023255813953488,0.06976744186046512,0.0,0.0,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.0,7.0,27.209302325581394,1.0,0.13953488372093023,7.0813953488372094,5.3023255813953485
Netflix,7.862460815047022,7.891849529780564,7.943573667711599,7.921630094043887,7.860501567398119,7.675548589341693,4.663009404388715,7.722570532915361,8.18652037617555,7.844827586206897,8.227272727272727,0.10815047021943573,0.19122257053291536,0.07523510971786834,0.14106583072100312,0.2335423197492163,0.21316614420062696,0.014106583072100314,0.014106583072100314,0.003134796238244514,0.006269592476489028,0.0,0.0,0.0,0.0,0.0,0.0,8.218779342723005,28.21003134796238,1.0,0.18025078369905956,7.890282131661442,6.163009404388715
バンダイチャンネル,7.458333333333333,6.833333333333333,7.166666666666667,7.5,6.0,7.166666666666667,1.0,8.166666666666666,8.0,6.666666666666667,7.833333333333333,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.581982500010355,26.0,1.0,0.0,8.166666666666666,4.166666666666667
Hulu,7.695873205741627,7.729665071770335,7.6746411483253585,7.679425837320574,7.7009569377990434,7.009569377990431,4.358851674641149,7.521531100478469,8.035885167464114,7.368421052631579,8.002392344497608,0.03827751196172249,0.07894736842105263,0.21291866028708134,0.2535885167464115,0.014354066985645933,0.2607655502392344,0.0861244019138756,0.007177033492822967,0.019138755980861243,0.014354066985645933,0.011961722488038277,0.0,0.0,0.0023923444976076554,0.0,0.0,7.330246913580247,29.411483253588518,1.0,0.12679425837320574,7.7272727272727275,5.8875598086124405
U‐NEXT,7.510240963855422,7.549397590361446,7.428915662650603,7.913253012048193,7.8265060240963855,7.20722891566265,4.192771084337349,7.27710843373494,7.920481927710844,7.113253012048193,7.732530120481928,0.10602409638554217,0.15903614457831325,0.0963855421686747,0.11566265060240964,0.11325301204819277,0.327710843373494,0.014457831325301205,0.016867469879518072,0.007228915662650603,0.0,0.033734939759036145,0.0,0.0,0.00963855421686747,0.0,0.0,7.791666666666667,25.81686746987952,1.0,0.5590361445783133,7.596385542168675,5.597590361445783
Lemino,6.738095238095238,6.523809523809524,7.142857142857143,6.285714285714286,7.095238095238095,6.428571428571429,3.9523809523809526,6.9523809523809526,7.333333333333333,6.095238095238095,6.190476190476191,0.0,0.09523809523809523,0.23809523809523808,0.09523809523809523,0.3333333333333333,0.14285714285714285,0.09523809523809523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.581982500010355,10.0,1.0,0.3333333333333333,7.071428571428571,6.523809523809524
NBA Rakuten,8.578947368421053,8.473684210526315,8.526315789473685,8.68421052631579,8.789473684210526,9.210526315789474,1.0526315789473684,8.68421052631579,9.0,8.842105263157896,9.263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.581982500010355,22.210526315789473,1.0,0.10526315789473684,8.5,6.7894736842105265
HISTORY ヒストリーチャンネル,8.125,8.0,8.0,9.0,8.0,8.0,1.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.581982500010355,18.0,1.0,1.0,8.0,8.0
Rakuten パ・リーグSpecial,7.423913043478261,7.565217391304348,7.304347826086956,6.913043478260869,6.434782608695652,7.173913043478261,1.0,7.173913043478261,7.695652173913044,7.304347826086956,7.565217391304348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.581982500010355,20.608695652173914,1.0,0.043478260869565216,6.891304347826087,5.956521739130435
その他,7.253205128205129,7.217948717948718,6.756410256410256,7.551282051282051,7.243589743589744,7.217948717948718,3.141025641025641,7.461538461538462,7.884615384615385,6.897435897435898,8.051282051282051,0.02564102564102564,0.0641025641025641,0.1282051282051282,0.10256410256410256,0.01282051282051282,0.0641025641025641,0.05128205128205128,0.01282051282051282,0.08974358974358974,0.02564102564102564,0.4230769230769231,0.0,0.0,0.0,0.0,0.0,7.581982500010355,27.71794871794872,1.0,0.1794871794871795,7.647435897435898,5.487179487179487
